frame.number;eth.src;ip.src;eth.dst;ip.dst;_ws.col.Protocol;_ws.col.Info
530;;127.0.0.1;;127.0.0.1;TCP;45694 → 8080 [ACK] Seq=198 Ack=24764 Win=436608 Len=0 TSval=813795 TSecr=813795
531;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
532;;127.0.0.1;;127.0.0.1;TCP;45694 → 8080 [ACK] Seq=198 Ack=32956 Win=465536 Len=0 TSval=813795 TSecr=813795
533;;127.0.0.1;;127.0.0.1;HTTP;HTTP/1.0 200 OK  (text/csv)
534;;127.0.0.1;;127.0.0.1;TCP;45694 → 8080 [ACK] Seq=198 Ack=38027 Win=465536 Len=0 TSval=813795 TSecr=813795
535;;127.0.0.1;;127.0.0.1;TCP;8080 → 45694 [FIN, ACK] Seq=38027 Ack=198 Win=44800 Len=0 TSval=813795 TSecr=813795
536;;127.0.0.1;;127.0.0.1;TCP;45694 → 8080 [FIN, ACK] Seq=198 Ack=38028 Win=465536 Len=0 TSval=813796 TSecr=813795
537;;127.0.0.1;;127.0.0.1;TCP;8080 → 45694 [ACK] Seq=38028 Ack=199 Win=44800 Len=0 TSval=813796 TSecr=813796
538;;127.0.0.1;;127.0.0.1;TCP;45696 → 8080 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=813825 TSecr=0 WS=128
539;;127.0.0.1;;127.0.0.1;TCP;8080 → 45696 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=813825 TSecr=813825 WS=128
540;;127.0.0.1;;127.0.0.1;TCP;45696 → 8080 [ACK] Seq=1 Ack=1 Win=43776 Len=0 TSval=813825 TSecr=813825
541;;127.0.0.1;;127.0.0.1;HTTP;GET /capture_00003_20170304180058.csv HTTP/1.1 
542;;127.0.0.1;;127.0.0.1;TCP;8080 → 45696 [ACK] Seq=1 Ack=198 Win=44800 Len=0 TSval=813825 TSecr=813825
543;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
544;;127.0.0.1;;127.0.0.1;TCP;45696 → 8080 [ACK] Seq=198 Ack=18 Win=43776 Len=0 TSval=813825 TSecr=813825
545;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
546;;127.0.0.1;;127.0.0.1;TCP;45696 → 8080 [ACK] Seq=198 Ack=56 Win=43776 Len=0 TSval=813825 TSecr=813825
547;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
548;;127.0.0.1;;127.0.0.1;TCP;45696 → 8080 [ACK] Seq=198 Ack=93 Win=43776 Len=0 TSval=813825 TSecr=813825
549;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
550;;127.0.0.1;;127.0.0.1;TCP;45696 → 8080 [ACK] Seq=198 Ack=117 Win=43776 Len=0 TSval=813825 TSecr=813825
551;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
